ETHBTC, ETHUSDT
PEPEUSDC, PEPEUSDT
SHIBUSDC, SHIBUSDT
ARTRY, ARUSDT
METISBTC, METISUSDT
METISTRY, METISUSDT
NEARUSDC, NEARUSDT
SNXTRY, SNXUSDT
AEVOBTC, AEVOUSDT
AEVOBNB, AEVOUSDT
AEVOTRY, AEVOUSDT
FETUSDC, FETUSDT
IMXTRY, IMXUSDT
EURUSDC, EURUSDT
BOMETRY, BOMEUSDT
BOMEBTC, BOMEUSDT
ETHFIBTC, ETHFIUSDT
ETHFIBNB, ETHFIUSDT
ETHFITRY, ETHFIUSDT
AAVETRY, AAVEUSDT
CRVTRY, CRVUSDT
FETBRL, FETUSDT
RNDREUR, RNDRUSDT
BONKUSDC, BONKUSDT
FLOKIUSDC, FLOKIUSDT
MKRTRY, MKRUSDT
RAYTRY, RAYUSDT
RNDRBRL, RNDRUSDT
ENABTC, ENAUSDT
ENABNB, ENAUSDT
ENATRY, ENAUSDT
MASKTRY, MASKUSDT
PENDLEUSDC, PENDLEUSDT
RDNTTRY, RDNTUSDT
WBTC, WUSDT
WTRY, WUSDT
BOMEUSDC, BOMEUSDT
JTOUSDC, JTOUSDT
WIFUSDC, WIFUSDT
